x,y,v
-4.032576,5.504493,2.696
-3.983111,5.497084,2.685
-3.933673,5.489497,2.675
-3.884263,5.481726,2.664
-3.834884,5.473771,2.654
-3.785534,5.465626,2.643
-3.736217,5.457288,2.633
-3.686934,5.448755,2.622
-3.637685,5.440023,2.611
-3.588473,5.431089,2.600
-3.539299,5.421949,2.589
-3.490164,5.412600,2.579
-3.441069,5.403039,2.568
-3.392017,5.393262,2.557
-3.343010,5.383266,2.546
-3.294048,5.373048,2.535
-3.245133,5.362605,2.523
-3.196268,5.351933,2.512
-3.147455,5.341029,2.501
-3.098694,5.329891,2.490
-3.049989,5.318514,2.478
-3.001340,5.306895,2.467
-2.952751,5.295031,2.456
-2.904222,5.282920,2.444
-2.855758,5.270558,2.433
-2.807358,5.257941,2.421
-2.759027,5.245067,2.409
-2.710766,5.231932,2.398
-2.662577,5.218533,2.386
-2.614464,5.204867,2.374
-2.566428,5.190931,2.362
-2.518472,5.176721,2.350
-2.470599,5.162236,2.338
-2.422811,5.147470,2.326
-2.375112,5.132422,2.314
-2.327504,5.117088,2.302
-2.279989,5.101465,2.290
-2.232572,5.085551,2.277
-2.185255,5.069341,2.265
-2.138041,5.052834,2.252
-2.090933,5.036025,2.240
-2.043935,5.018912,2.227
-1.997050,5.001492,2.215
-1.950281,4.983762,2.202
-1.903632,4.965719,2.189
-1.857107,4.947360,2.176
-1.810709,4.928681,2.163
-1.764442,4.909681,2.150
-1.718309,4.890355,2.137
-1.672316,4.870700,2.124
-1.626466,4.850715,2.111
-1.580763,4.830395,2.097
-1.535211,4.809738,2.084
-1.489815,4.788741,2.070
-1.444579,4.767401,2.057
-1.399508,4.745716,2.043
-1.354606,4.723682,2.029
-1.309878,4.701297,2.015
-1.265329,4.678559,2.001
-1.220963,4.655465,1.987
-1.176785,4.632013,1.973
-1.132800,4.608201,1.959
-1.089014,4.584026,1.944
-1.045431,4.559487,1.930
-1.002056,4.534581,1.915
-0.958895,4.509307,1.900
-0.915953,4.483662,1.885
-0.873235,4.457646,1.870
-0.830747,4.431255,1.855
-0.788495,4.404488,1.840
-0.746485,4.377344,1.825
-0.704723,4.349820,1.809
-0.663215,4.321914,1.794
-0.621969,4.293622,1.778
-0.580993,4.264940,1.762
-0.540293,4.235868,1.746
-0.499876,4.206403,1.730
-0.459753,4.176541,1.713
-0.419932,4.146275,1.697
-0.380424,4.115603,1.680
-0.341237,4.084523,1.663
-0.302380,4.053029,1.646
-0.263873,4.021109,1.629
-0.225758,3.988723,1.612
-0.188085,3.955822,1.594
-0.150874,3.922400,1.576
-0.114129,3.888467,1.559
-0.077889,3.853995,1.540
-0.042251,3.818901,1.522
-0.007244,3.783177,1.503
0.027109,3.746824,1.485
0.060787,3.709845,1.465
0.093734,3.672213,1.446
0.125868,3.633885,1.428
0.157094,3.594812,1.414
0.187288,3.554938,1.403
0.216417,3.514279,1.396
0.244579,3.472944,1.393
0.271772,3.430965,1.393
0.297985,3.388368,1.396
0.323137,3.345135,1.402
0.347180,3.301277,1.411
0.370252,3.256899,1.423
0.392405,3.212056,1.436
0.413663,3.166782,1.450
0.434029,3.121099,1.466
0.453467,3.075014,1.482
0.472033,3.028571,1.498
0.489790,2.981812,1.513
0.506749,2.934758,1.528
0.522916,2.887427,1.541
0.538298,2.839834,1.554
0.552898,2.791996,1.564
0.566719,2.743926,1.573
0.579758,2.695639,1.580
0.591955,2.647132,1.585
0.603373,2.598436,1.589
0.614009,2.549564,1.592
0.623861,2.500527,1.593
0.632923,2.451338,1.593
0.641189,2.402009,1.593
0.648655,2.352553,1.591
0.655312,2.302981,1.590
0.661144,2.253306,1.588
0.666082,2.203533,1.586
0.670188,2.153685,1.584
0.673457,2.103776,1.582
0.675882,2.053818,1.580
0.677460,2.003826,1.578
0.678188,1.953815,1.567
0.678067,1.903798,1.549
0.677068,1.853791,1.531
0.675164,1.803811,1.512
0.672419,1.753870,1.494
0.668836,1.703981,1.475
0.664422,1.654160,1.455
0.659181,1.604419,1.436
0.653117,1.554771,1.416
0.646234,1.505230,1.396
0.638519,1.455812,1.376
0.629943,1.406536,1.355
0.620541,1.357411,1.334
0.610306,1.308452,1.313
0.599220,1.259680,1.292
0.587207,1.211127,1.270
0.574170,1.162840,1.247
0.560043,1.114859,1.224
0.544682,1.067260,1.201
0.528071,1.020082,1.178
0.510148,0.973387,1.153
0.490923,0.927213,1.129
0.470185,0.881698,1.104
0.447905,0.836918,1.083
0.423819,0.793083,1.066
0.397824,0.750352,1.052
0.370126,0.708705,1.042
0.340243,0.668596,1.036
0.308586,0.629873,1.034
0.275000,0.592810,1.036
0.239760,0.557317,1.042
0.202758,0.523664,1.052
0.164382,0.491587,1.065
0.124820,0.460984,1.081
0.084025,0.432045,1.102
0.042278,0.404498,1.125
-0.000384,0.378390,1.151
-0.043821,0.353594,1.180
-0.087951,0.330051,1.211
-0.132751,0.307812,1.243
-0.178100,0.286712,1.277
-0.223897,0.266607,1.312
-0.270101,0.247451,1.347
-0.316689,0.229254,1.382
-0.363642,0.212015,1.417
-0.410900,0.195635,1.450
-0.458441,0.180093,1.482
-0.506242,0.165373,1.512
-0.554289,0.151475,1.541
-0.602580,0.138448,1.568
-0.651073,0.126197,1.594
-0.699752,0.114706,1.619
-0.748599,0.103955,1.642
-0.797601,0.093931,1.664
-0.846748,0.084642,1.685
-0.896033,0.076116,1.705
-0.945431,0.068278,1.725
-0.994932,0.061116,1.744
-1.044525,0.054619,1.763
-1.094200,0.048776,1.782
-1.143945,0.043577,1.801
-1.193757,0.039057,1.820
-1.243624,0.035179,1.838
-1.293533,0.031911,1.857
-1.343479,0.029239,1.876
-1.393452,0.027155,1.896
-1.443446,0.025648,1.915
-1.493454,0.024706,1.935
-1.543469,0.024344,1.955
-1.593485,0.024557,1.976
-1.643497,0.025301,1.997
-1.693497,0.026567,2.019
-1.743483,0.028342,2.042
-1.793447,0.030617,2.065
-1.843388,0.033381,2.088
-1.893299,0.036622,2.112
-1.943178,0.040339,2.135
-1.993018,0.044542,2.158
-2.042818,0.049189,2.180
-2.092576,0.054266,2.203
-2.142290,0.059765,2.225
-2.191956,0.065674,2.247
-2.241573,0.071983,2.269
-2.291140,0.078682,2.291
-2.340653,0.085760,2.312
-2.390112,0.093208,2.333
-2.439515,0.101016,2.354
-2.488859,0.109195,2.375
-2.538144,0.117719,2.396
-2.587371,0.126573,2.416
-2.636538,0.135750,2.436
-2.685646,0.145241,2.457
-2.734694,0.155040,2.476
-2.783680,0.165138,2.496
-2.832607,0.175525,2.516
-2.881472,0.186194,2.535
-2.930277,0.197136,2.555
-2.979022,0.208344,2.574
-3.027707,0.219811,2.593
-3.076332,0.231528,2.612
-3.124897,0.243489,2.631
-3.173404,0.255686,2.649
-3.221850,0.268123,2.668
-3.270238,0.280780,2.686
-3.318571,0.293651,2.705
-3.366847,0.306729,2.723
-3.415069,0.320008,2.741
-3.463237,0.333480,2.759
-3.511352,0.347140,2.776
-3.559416,0.360980,2.794
-3.607430,0.374994,2.812
-3.655394,0.389175,2.829
-3.703310,0.403518,2.846
-3.751179,0.418016,2.864
-3.799003,0.432662,2.881
-3.846784,0.447452,2.898
-3.894521,0.462378,2.915
-3.942218,0.477434,2.932
-3.989875,0.492616,2.948
-4.037494,0.507916,2.965
-4.085076,0.523330,2.982
-4.132624,0.538851,2.998
-4.180138,0.554474,3.000
-4.227620,0.570193,3.000
-4.275073,0.586003,3.000
-4.322497,0.601897,3.000
-4.369894,0.617872,3.000
-4.417266,0.633922,3.000
-4.464614,0.650041,3.000
-4.511940,0.666225,3.000
-4.559246,0.682467,3.000
-4.606533,0.698763,3.000
-4.653804,0.715108,3.000
-4.701060,0.731496,3.000
-4.748302,0.747924,3.000
-4.795532,0.764385,3.000
-4.842752,0.780875,3.000
-4.889964,0.797390,3.000
