time_sec,ros_time_sec,mode,estop_active,manual_override,timeout_active,rc_ch1,rc_ch2,rc_ch5,rc_ch6,target_duty,limited_duty,final_duty,vesc_duty,target_steering,final_steering,speed_mps,speed_kph,accel_mps2,erpm,motor_rpm,wheel_rpm,battery_voltage,voltage_drop,input_current,motor_current,vesc_temp,motor_temp,fault_code,duty_limit_active,limit_reason
2.6591610769996805,1783830939.97337,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.709286792000057,1783830940.0234962,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.7591843099999096,1783830940.073392,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.8091999119997126,1783830940.1234083,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.8592753220000304,1783830940.1734877,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.909272490999683,1783830940.2234824,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.959175162000065,1783830940.2733824,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.0092939020000813,1783830940.3235033,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.0592098849997456,1783830940.3734186,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.109365904999777,1783830940.4235792,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.1592903679998017,1783830940.473503,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.209212272000059,1783830940.5234225,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.2591729920000034,1783830940.5733807,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.309128911999778,1783830940.6233366,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.359267492000072,1783830940.673476,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.409307764999994,1783830940.7235196,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.4592223399999966,1783830940.7734337,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.5092592860000877,1783830940.8234704,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.559196581999913,1783830940.8734045,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.6092767929999354,1783830940.9234865,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.6591731589996925,1783830940.9733813,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.709174583999811,1783830941.023382,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.759206730999722,1783830941.0734165,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.809151579999707,1783830941.1233594,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.8592878569997993,1783830941.173498,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.9094841989999622,1783830941.2236934,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.9592766599998868,1783830941.2734857,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.0091338590000305,1783830941.3233414,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.059353529999953,1783830941.373566,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.109244712999953,1783830941.4234562,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.159343612999692,1783830941.473556,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.209258828999737,1783830941.52347,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.259214493999934,1783830941.5734243,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.309494613999959,1783830941.6237042,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.359171425000113,1783830941.673379,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.409307605999857,1783830941.7235198,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.459612237999863,1783830941.7738266,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.509286872999837,1783830941.8234994,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.559179591999964,1783830941.8733883,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
